borrower_id,age,gender,education_level,village_state,occupation_type,family_members,dependents,land_size_acres,crop_type,rainfall_mm,irrigation_type,soil_quality_index,annual_yield_tonnes,shop_monthly_revenue,business_expenses,inventory_value,annual_income,mobile_transactions_per_month,loan_amount_requested,previous_loans,previous_defaults,loan_repayment_status
R0001,60,Male,Secondary,Maharashtra,Farmer,3,0,1.47,Wheat,999.3,Canal,77,3.01,0,0,0,64601.12,15,39874,0,0,1
R0002,33,Male,Secondary,Odisha,Shopkeeper,6,1,0,None,0,NA,0,0,267882.27,171564.13,59565.08,106935.67,16,61179,3,0,0
R0003,20,Male,Primary,Madhya Pradesh,Dairy,3,0,0,None,0,NA,0,0,133018.14,81128.11,40236.15,70626.9,21,79665,2,0,0
R0004,42,Female,Primary,Bihar,Farmer,2,1,9.74,Millets,872.3,Borewell,45,13.86,0,0,0,372484.87,24,117420,2,0,1
R0005,43,Male,None,Andhra Pradesh,Dairy,3,1,0,None,0,NA,0,0,202179.5,84628.33,52528.14,132666.89,17,146320,1,0,0
R0006,49,Female,Primary,Telangana,Farmer,3,2,9.4,Wheat,695.7,Borewell,78,15.43,0,0,0,200930.08,27,142629,1,0,1
R0007,49,Female,Graduate,Kerala,Shopkeeper,7,5,0,None,0,NA,0,0,134810.66,81968.55,48269.72,68387.74,21,45044,2,0,0
R0008,34,Male,Primary,Karnataka,Service Provider,2,0,0,None,0,NA,0,0,107035.89,44750.73,32773.12,83945.48,17,90648,2,0,0
R0009,61,Female,Primary,Telangana,Shopkeeper,3,2,0,None,0,NA,0,0,127424.28,78630.78,19864.7,82859.41,24,30939,2,0,0
R0010,57,Female,Primary,Karnataka,Farmer,3,2,7.68,Wheat,867.6,Borewell,49,16.79,0,0,0,370746.58,23,42588,1,0,1
R0011,24,Female,Secondary,Madhya Pradesh,Farmer,5,4,5.76,Rice,732.2,Borewell,83,13.06,0,0,0,258807.89,18,82867,0,0,1
R0012,54,Female,Primary,Uttar Pradesh,Farmer,4,3,0.53,Corn,838.2,Rain-fed,72,0.72,0,0,0,26067.65,20,151252,0,0,0
R0013,39,Male,Primary,Telangana,Dairy,3,2,0,None,0,NA,0,0,242588.41,151499.1,63967.7,115903.18,20,34321,0,0,0
R0014,51,Male,Graduate,Andhra Pradesh,Farmer,8,4,2.79,Wheat,616.2,Borewell,45,4.64,0,0,0,157084.42,16,158444,3,0,0
